country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iran,211k,232k,256k,282k,311k,343k,242k,378k,635k,695k,1.29M,1.27M,1.29M,787k,1.14M,1.2M,999k,1.35M,1.27M,983k,967k,952k,937k,967k,710k,710k,1.01M,893k,1.1M,1.1M,1.03M,1.08M,1.11M,1.29M,1.23M,1.3M,1.28M,1.21M,1.31M,1.37M,1.56M,1.5M,1.57M,1.17M,1.36M,1.29M,1.43M,1.12M,1.43M,1.63M,1.56M,1.51M,1.65M,1.32M,1.24M
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,6540,4810,3700,2920,2060,1380,946,683,431,347,233,237,216,182,15.8k,21k,35.7k,33.3k,47.6k,65.8k,70.4k,79.3k,63.2k,63.8k,68.1k,65k,67k,52.8k,54.5k,53.9k,63.4k,62.8k,65.1k,58.5k,68.4k,94.6k,103k,102k,100k,105k,100k,103k,110k,95.5k,88.4k,93.1k,93.1k,95.3k,110k,89.8k,99.4k,116k,115k,115k,115k
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,555k,1.05M,1.69M,1.85M,2.05M,2.18M,2.09M,2.26M,2.37M,2.57M,3.16M,3.57M,3.78M,4.13M,5.01M,5.44M,5.84M,5.74M,6.25M,7.22M,7.63M,7.91M,7.99M,7.94M,7.85M,8.03M,7.9M,7.74M,7.73M,7.93M,8.81M,7.09M,6.59M,6.45M,5.51M,5M,4.71M,5M
Italy,8.63M,8.97M,9.83M,9.52M,9.77M,9.87M,9.54M,8.87M,9M,9.8M,9.83M,9.75M,9.59M,9.75M,10.7M,12.6M,12.9M,14.4M,13.5M,15.3M,15.1M,14.8M,14.7M,13.8M,14.4M,14.6M,13.9M,12.2M,10.7M,11.3M,12.1M,11.1M,11.3M,11.7M,11.7M,12.5M,13.3M,13.7M,14.8M,16.6M,16.5M,16.7M,16.3M,15.8M,12.4M,13.7M,15.3M,15.7M,13.5M,13.2M,12.3M,11M,9.62M,8.82M,7.12M
Japan,48.7M,51.9M,57M,58.7M,62.7M,60.4M,54.8M,53.6M,56.6M,60M,56.2M,54.9M,51.8M,46.9M,50.1M,58.2M,65.3M,62.2M,61.4M,68.6M,71.6M,68.2M,69.6M,75.2M,75.3M,78M,77.4M,76.1M,77.6M,81.3M,84.3M,86.5M,88.8M,84.7M,89.1M,95.5M,97.8M,104M,107M,110M,115M,113M,118M,122M,102M,116M,110M,116M,121M,119M,120M,120M,122M,119M,117M
Kazakhstan,,,,,,,,,,,,,,,,,,,,,38.1M,40.1M,41.6M,43.4M,41.4M,38.7M,37.8M,38.1M,34.6M,33.8M,27.3M,24.4M,20.9M,20.6M,19.1M,17.8M,22.3M,22.6M,24.9M,26.6M,26.9M,28.3M,31.1M,33.8M,30.9M,33.4M,36.3M,37.9M,37.5M,37M,34.2M,33.9M,36.4M,40.7M,39.9M
South Korea,4.95M,5.61M,5.35M,5.05M,5.27M,5.63M,5.69M,5.83M,7.37M,7.61M,8.04M,8.96M,9.78M,9.89M,11.8M,13.2M,15.2M,15.5M,16.5M,19.9M,22M,23.3M,23.6M,25.2M,24.5M,24.1M,24.2M,23.6M,25.8M,26.5M,27.5M,32.1M,34.9M,36.1M,38.2M,42.9M,45.7M,49.1M,51.1M,53.2M,54.8M,56.7M,59.7M,66.1M,68.6M,77.1M,83.7M,80.6M,81.5M,84.4M,85.4M,81.5M,86.2M,86.7M,82.1M
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,65,282,93.6,84.8,0,2330,397,672,0,3840,13.5k,0,274k,218k,181k,223k,170k,192k,181k
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,441,2520,2620,1700,2290,1270,17.8k,17.9k,34.8k,21k,7870,7370,3780,441,0,567,567,384,347,1000,208,0,195,0,340,88.1,10.9k,59.7k,15.7k,58.4k,43.8k,42.8k,57.6k,58.7k,59.9k,299k,456k,480k,921k,1.24M,1.31M,1.36M,1.37M,1.51M
Lithuania,,,,,,,,,,,,,,,,,,,,,813k,946k,932k,939k,878k,797k,890k,417k,370k,307k,245k,225k,182k,159k,136k,92.3k,83.8k,135k,175k,169k,185k,251k,250k,212k,168k,207k,240k,234k,269k,228k,182k,185k,198k,211k,204k
Luxembourg,2.73M,2.46M,2.31M,2.47M,2.63M,2.69M,2.48M,2.44M,2.42M,2.58M,1.96M,1.82M,1.57M,1.66M,1.84M,1.82M,1.47M,1.35M,1.24M,1.41M,1.4M,1.25M,897k,915k,1.13M,1.1M,1.05M,986k,1.02M,879k,494k,466k,295k,98.3k,99.4k,110k,118k,73.7k,56.6k,79.5k,77.6k,92.6k,78.4k,74.9k,66.9k,67k,58.4k,53.7k,47.9k,53.4k,49.1k,52.4k,45.3k,42.1k,55.9k
Latvia,,,,,,,,,,,,,,,,,,,,,726k,916k,839k,842k,688k,709k,621k,546k,499k,376k,267k,250k,224k,165k,128k,132k,123k,99k,88.8k,67.2k,80.9k,86.7k,107k,106k,85.7k,109k,111k,88.7k,74.9k,59.7k,46.2k,41k,40k,48k,73k
Morocco,182k,279k,277k,249k,249k,286k,299k,369k,366k,363k,412k,447k,422k,426k,415k,398k,423k,471k,583k,501k,662k,899k,1.04M,1.03M,1.14M,1.1M,1.19M,1.11M,1.21M,1.35M,1.63M,2.09M,1.99M,2.38M,2.27M,2.69M,3.41M,3.39M,3.27M,3.62M,3.8M,3.86M,3.23M,3.66M,2.71M,2.79M,2.98M,3.02M,3M,4.04M,4.45M,4.28M,4.45M,5.15M,6.67M
Mexico,690k,736k,903k,946k,959k,1.08M,1.35M,1.49M,1.6M,1.77M,2.03M,1.56M,2.24M,2.34M,2.3M,2.32M,2.05M,2.46M,2.8M,2.81M,3.05M,3.36M,3.25M,3.07M,3.4M,3.37M,3.26M,3.3M,3.72M,4.5M,5.01M,5.74M,5.75M,5.88M,5.98M,6.55M,7.19M,12M,8.88M,9.09M,11.5M,12.3M,11.3M,10.1M,10.3M,12.7M,14.7M,12.8M,12.7M,12.7M,12.7M,12.4M,15.2M,13.5M,12.1M
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,1.33M,1.34M,1.33M,1.33M,1.39M,1.43M,1.38M,1.29M,1.67M,1.46M,1.34M,1.48M,1.28M,1.48M,1.41M,1.46M,1.42M,1.45M,1.49M,1.34M,1.29M,1.48M,1.39M,1.16M,1.08M,971k,876k,958k,865k,1.06M
Malaysia,15k,20k,12k,12k,15k,16k,41k,104k,99k,99k,9000,10k,11k,24k,34k,50k,93k,85k,221k,239k,319k,237k,327k,260k,1.2M,1.33M,1.56M,1.64M,1.37M,1.52M,1.67M,1.68M,1.62M,1.73M,1.94M,2.48M,2.97M,3.64M,5.31M,6.63M,6.88M,7.29M,8.84M,9.78M,10.6M,14.8M,14.8M,15.9M,15.1M,15.3M,17.4M,18.7M,20.8M,22.1M,21.4M
Netherlands,8.86M,8.07M,7.76M,7.36M,6.26M,4.59M,3.46M,2.96M,3.01M,2.87M,2.41M,3.01M,3.15M,3.61M,3.44M,3.99M,4.42M,5.11M,5.28M,6.38M,6.35M,6.54M,6.9M,8.26M,8.19M,8.74M,8.05M,8.03M,8.1M,8.62M,8.91M,8.6M,8.36M,8.53M,7.48M,7.76M,8.26M,8.31M,8.6M,8.48M,8.1M,7.71M,8.41M,7.95M,7.5M,7.55M,7.44M,8.18M,8.19M,9.05M,11M,10.2M,9.15M,8.21M,6.37M
Norway,763k,703k,738k,751k,837k,855k,804k,873k,938k,1.04M,989k,954k,822k,847k,1.05M,976k,978k,940k,1M,1.12M,1.12M,997k,963k,989k,866k,811k,722k,726k,785k,885k,966k,960k,953k,1.03M,969k,993k,885k,767k,749k,846k,722k,620k,681k,702k,559k,762k,846k,819k,776k,850k,762k,782k,818k,799k,804k
New Zealand,1.65M,1.6M,1.46M,1.38M,1.41M,1.41M,1.25M,1.29M,1.46M,1.5M,1.41M,1.45M,1.39M,1.28M,1.14M,1.17M,1.17M,1.14M,1.27M,1.18M,1.09M,1.25M,1.04M,1.13M,1.23M,1.2M,1.14M,1.26M,1.24M,1.17M,1.17M,1.16M,1.25M,1.14M,1.17M,1.11M,1.37M,1.37M,1.98M,2.04M,2.27M,2.24M,1.7M,2.1M,1.62M,1.38M,1.4M,1.74M,1.54M,1.42M,1.43M,1.19M,1.25M,1.3M,1.48M
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,6.45,4.06,33.4,48,5.73,250,141,336,0,798,314,3080,702,1200,1400,29.6k,10.2k,30.9k,44.9k,35.7k,49.2k,55.1k,76k,74.5k,164k
Pakistan,1.38M,1.16M,1.12M,1.23M,1.11M,923k,731k,586k,582k,533k,517k,512k,557k,593k,661k,704k,799k,906k,1.03M,1.17M,1.32M,1.5M,1.7M,1.78M,1.95M,2.07M,2.05M,2.1M,2.21M,2.19M,2.21M,2.24M,2.09M,2.1M,2.1M,2.03M,2.1M,2.36M,3M,3.35M,3.72M,3.97M,5.43M,5.99M,4.93M,4.63M,3.99M,4.05M,3.21M,4.73M,4.65M,5.34M,7.15M,11.8M,13.1M
Peru,36.1k,45.5k,51.3k,50.9k,85.7k,86.9k,122k,132k,151k,161k,168k,130k,149k,127k,135k,142k,144k,163k,138k,110k,120k,163k,184k,181k,201k,145k,281k,275k,289k,356k,374k,392k,408k,447k,405k,630k,571k,782k,840k,908k,921k,784k,1.04M,923k,829k,813k,818k,873k,880k,869k,810k,979k,870k,771k,520k
Philippines,44.3k,42k,32.7k,14.9k,19.6k,19.6k,19.1k,18.7k,18.7k,26.1k,49.5k,58.8k,145k,133k,116k,140k,243k,271k,493k,789k,1.12M,880k,936k,1.18M,936k,1.07M,1.2M,1.2M,1.22M,1.17M,1.41M,1.97M,2.44M,2.47M,2.89M,4.01M,4.1M,3.57M,3.72M,4.04M,4.59M,5.02M,5.4M,6.35M,6.06M,7.02M,7.73M,8.09M,10M,10.6M,11.6M,13.1M,15.5M,16.4M,17.4M
Poland,59.5M,60.3M,61.4M,64.3M,67.6M,70.2M,71.8M,75.1M,75.5M,77.6M,83.7M,87.5M,90.6M,94.8M,96M,102M,90.6M,93.8M,93.6M,97.6M,99.9M,102M,106M,103M,98.6M,78.4M,77.7M,75.1M,74.2M,69.1M,70.3M,72M,70.2M,63.3M,60.7M,56.2M,55.6M,54.5M,56.1M,54.5M,55.1M,57.4M,55.9M,55.2M,51.8M,55.1M,55M,51.2M,53.4M,49.4M,48.7M,49.5M,49.8M,49.8M,45.6M
